disorder	class	gene
17,20-lyase deficiency, isolated	Endocrine	CYP17A1
17,20-lyase deficiency, isolated	Endocrine	CYP17
17,20-lyase deficiency, isolated	Endocrine	P450C17
17-alpha-hydroxylase/17,20-lyase deficiency	Endocrine	CYP17A1
17-alpha-hydroxylase/17,20-lyase deficiency	Endocrine	CYP17
17-alpha-hydroxylase/17,20-lyase deficiency	Endocrine	P450C17
2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency	Metabolic	HADH2
2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency	Metabolic	ERAB
2-methylbutyrylglycinuria	Metabolic	ACADSB
3-beta-hydroxysteroid dehydrogenase, type II, deficiency	Metabolic	HSD3B2
3-hydroxyacyl-CoA dehydrogenase deficiency	Metabolic	HADHSC
3-hydroxyacyl-CoA dehydrogenase deficiency	Metabolic	SCHAD
3-Methylcrotonyl-CoA carboxylase 1 deficiency	Metabolic	MCCC1
3-Methylcrotonyl-CoA carboxylase 1 deficiency	Metabolic	MCCA
3-Methylcrotonyl-CoA carboxylase 2 deficiency	Metabolic	MCCC2
3-Methylcrotonyl-CoA carboxylase 2 deficiency	Metabolic	MCCB
3-methylglutaconic aciduria, type I	Metabolic	AUH
3-methylglutaconicaciduria, type III	Metabolic	OPA3
3-methylglutaconicaciduria, type III	Metabolic	MGA3
3-M syndrome	multiple	CUL7
6-mercaptopurine sensitivity	Metabolic	TPMT
Aarskog-Scott syndrome	multiple	FGD1
Aarskog-Scott syndrome	multiple	FGDY
Aarskog-Scott syndrome	multiple	AAS
Abacavir hypersensitivity, susceptibility to	Immunological	HLA-B
ABCD syndrome	multiple	EDNRB
ABCD syndrome	multiple	HSCR2
ABCD syndrome	multiple	ABCDS
Abetalipoproteinemia	Metabolic	MTP
Abetalipoproteinemia	Metabolic	APOB
Abetalipoproteinemia	Metabolic	FLDB
Acampomelic campolelic dysplasia	Skeletal	SOX9
Acampomelic campolelic dysplasia	Skeletal	CMD1
Acampomelic campolelic dysplasia	Skeletal	SRA1
Acatalasemia	Hematological	CAT
Accelerated tumor formation, susceptibility to	Cancer	MDM2
Achalasia-addisonianism-alacrimia syndrome	multiple	AAAS
Achalasia-addisonianism-alacrimia syndrome	multiple	AAA
Acheiropody	Skeletal	C7orf2
Acheiropody	Skeletal	ACHP
Acheiropody	Skeletal	LMBR1
Achondrogenesis-hypochondrogenesis, type II	Bone	COL2A1
Achondrogenesis Ib	Bone	SLC26A2
Achondrogenesis Ib	Bone	DTD
Achondrogenesis Ib	Bone	DTDST
Achondrogenesis Ib	Bone	D5S1708
Achondrogenesis Ib	Bone	EDM4
Achondroplasia	Skeletal	FGFR3
Achondroplasia	Skeletal	ACH
