,Provincia de residencia,Provincia de destino,Flujo origen-destino (nº de personas)
1,Albacete,Alicante/Alacant,398
2,Albacete,Ciudad Real,620
3,Albacete,Cuenca,1252
4,Albacete,Murcia,745
5,Albacete,Toledo,20
6,Albacete,Valencia/València,538
7,Alicante/Alacant,Albacete,225
9,Alicante/Alacant,Barcelona,16
10,Alicante/Alacant,Girona,17
11,Alicante/Alacant,Madrid,178
12,Alicante/Alacant,Murcia,6682
13,Alicante/Alacant,Valencia/València,3345
15,Almería,Granada,1227
16,Almería,Jaén,27
17,Almería,Murcia,1638
19,Araba/Álava,Bizkaia,3941
20,Araba/Álava,Burgos,1912
21,Araba/Álava,Gipuzkoa,1172
22,Araba/Álava,Murcia,103
23,Araba/Álava,Navarra,138
24,Araba/Álava,"Rioja, La",992
26,Asturias,Cantabria,271
27,Asturias,León,342
28,Asturias,Lugo,1128
29,Badajoz,Alicante/Alacant,28
31,Badajoz,Ciudad Real,218
32,Badajoz,Cáceres,2241
33,Badajoz,Córdoba,293
34,Badajoz,Huelva,539
35,Badajoz,Sevilla,124
37,"Balears, Illes",Barcelona,135
38,"Balears, Illes",Jaén,22
39,"Balears, Illes",Sevilla,19
40,"Balears, Illes",Valencia/València,27
41,Barcelona,Alicante/Alacant,22
42,Barcelona,"Balears, Illes",65
44,Barcelona,Cádiz,19
45,Barcelona,Girona,4951
46,Barcelona,Lleida,559
47,Barcelona,Madrid,16
48,Barcelona,Sevilla,51
49,Barcelona,Tarragona,3303
50,Bizkaia,Alicante/Alacant,18
51,Bizkaia,Araba/Álava,5288
53,Bizkaia,Burgos,426
54,Bizkaia,Cantabria,1475
55,Bizkaia,Gipuzkoa,4546
56,Bizkaia,"Palmas, Las",18
57,Bizkaia,"Rioja, La",17
58,Burgos,Araba/Álava,3568
59,Burgos,Bizkaia,1372
61,Burgos,Cantabria,111
62,Burgos,Palencia,255
63,Burgos,"Rioja, La",433
64,Burgos,Segovia,148
65,Burgos,Soria,180
66,Burgos,Valladolid,20
67,Cantabria,Araba/Álava,114
68,Cantabria,Asturias,546
69,Cantabria,"Balears, Illes",19
70,Cantabria,Bizkaia,6315
71,Cantabria,Burgos,225
73,Cantabria,Palencia,378
75,Castellón/Castelló,Madrid,41
76,Castellón/Castelló,Tarragona,1289
77,Castellón/Castelló,Teruel,178
78,Castellón/Castelló,Valencia/València,1429
79,Castellón/Castelló,Zaragoza,37
81,Ceuta,Cádiz,49
82,Ciudad Real,Albacete,706
83,Ciudad Real,Badajoz,69
85,Ciudad Real,Cuenca,291
86,Ciudad Real,Córdoba,162
87,Ciudad Real,Jaén,137
88,Ciudad Real,Madrid,65
89,Ciudad Real,Toledo,774
91,"Coruña, A",Lugo,1082
