address;available;coordinates;free;name;number;open;ticket;total;type;updated_at
Plaza de la Virgen - Bailía;18;[725755.944, 4372972.613];6;004_PLAZA_DE_LA_VIRGEN_CALLE_BAILIA;4;T;T;25;Point;29/06/2016 10:43
Plaza Poeta Llorente;4;[726116.944, 4372999.585];11;005_PINTOR_LOPEZ_PZA_POETA_LLORENTE;5;T;T;15;Point;29/06/2016 10:43
Guillem de Castro - San Pedro Pascual;0;[725016.729, 4372512.385];15;006_GUILLEN_CASTRO_CON_CALLE_SAN_PEDRO_PASCUAL;6;T;T;15;Point;29/06/2016 10:43
Plaza del Mercado - Taula de Canvis;9;[725431.405, 4372754.855];11;007_PZA_DEL_MERCADO_TAULA_DE_CANVIS;7;T;T;20;Point;29/06/2016 10:43
Plaza de Tetuán;8;[726229.268, 4372720.676];17;009_PLAZA_TETUAN_4;9;T;T;25;Point;29/06/2016 10:43
Xátiva - Bailén (Estación del Norte);8;[725621.027, 4371937.812];22;017_ESTACION RENFE I;17;T;T;30;Point;29/06/2016 10:43
Juan Llorens - Quart;2;[724365.85, 4372668.04];13;019_JUAN_LLORENS;19;T;F;15;Point;29/06/2016 10:43
Mediterráneo - Plaza Cruz de Cañamelar;0;[729536.909, 4372108.482];15;161_MEDITERRANEO;161;T;T;15;Point;29/06/2016 10:43
Armada Española - Mariano Cuber;17;[729717.409, 4371628.874];2;162_PZA. ARMADA ESPAÑOLA;162;T;F;19;Point;29/06/2016 10:43
Paseo Neptuno 32-34;7;[730264.816, 4371737.667];13;163_PASEO NEPTUNO;163;T;T;20;Point;29/06/2016 10:43
Pavía - Columbretes;1;[730145.464, 4372181.084];16;164_PAVIA 1;164;T;F;17;Point;29/06/2016 10:43
Cra. Malilla - Oltá;11;[725543.743, 4370287.886];9;192_CTRA_MALILLA;192;T;T;20;Point;29/06/2016 10:43
Uruguay - Carteros;3;[724846.881, 4370546.384];16;193_CALLE_CARTEROS;193;T;T;20;Point;29/06/2016 10:43
Pechina - Teruel;3;[724209.864, 4372869.384];16;202_PASEO_PECHINA;202;T;T;20;Point;29/06/2016 10:43
Quart - Fernando el Católico;10;[724685.713, 4372751.189];6;020_FERNANDO_EL_CATOLICO_CALLE_QUART;20;T;T;16;Point;29/06/2016 10:43
Músico Ayllón - Francisco Dolz;12;[723950.022, 4371689.7];3;215_CALLE_MUSICO_AYLLON_ESQ_CALLE_FRANCISCO_DOLZ;215;T;T;15;Point;29/06/2016 10:43
Juan Llorens - Literato Gabriel Miró;1;[724490.651, 4372449.685];15;021_JUAN_LLORENS_29;21;T;T;16;Point;29/06/2016 10:43
Plaza América - Cirilo Amorós - Sorní;20;[726641.444, 4372261.334];0;029_PLAZA AMERICA;29;T;T;20;Point;29/06/2016 10:43
Cirilo Amorós - Jorge Juan (Mercado Colón);14;[726371.036, 4372085.56];6;030_CIRILO AMOROS;30;T;F;20;Point;29/06/2016 10:43
Salamanca - Conde Altea;14;[726673.679, 4371957.09];6;031_CALLE SALAMANCA;31;T;F;20;Point;29/06/2016 10:43
Conde Altea - Almirante Cadarso;6;[726401.133, 4371798.141];14;032_C/ CONDE DE ALTEA;32;T;T;20;Point;29/06/2016 10:43
Germanías - Ruzafa;13;[725910.856, 4371651.849];6;033_GRAN_VIA_GERMANIAS_ESQ_CALLE_RUZAFA;33;T;T;20;Point;29/06/2016 10:43
Regne de Valencia - Doctor Sumsi;10;[726259.768, 4371584.704];7;34_AVDA. ANTIGUO REINO DE VALENCIA;34;T;F;17;Point;29/06/2016 10:43
Regne de Valencia - Almirante Cadarso;12;[726516.262, 4371550.757];8;35_C/ DUQUE DE CALABRIA;35;T;T;20;Point;29/06/2016 10:43
José María de Haro - Justo y Pastor;9;[728914.788, 4372019.751];11;160_JOSE MARIA DE HARO;160;T;F;20;Point;29/06/2016 10:43
Rubén Darío - Plaza Fray Luis Colomer;0;[727726.47, 4373219.828];15;103_RUBEN DARIO;103;T;F;15;Point;29/06/2016 10:43
Albalat dels Tarongers - Paseo Facultades;19;[728165.066, 4373225.292];1;104_ALBALAT DELS TARONGERS;104;T;T;20;Point;29/06/2016 10:43
Aularios Universidad de Valencia;18;[728404.34, 4373155.018];12;105_AVDA. DE LOS NARANJOS;105;T;F;30;Point;29/06/2016 10:43
Luís Peixó 20;6;[729355.857, 4372738.285];9;108_ LUIS PEIXO;108;T;T;15;Point;29/06/2016 10:43
Pintor Stolz - Nueve de Octubre;8;[723259.895, 4372187.155];17;217_CALLE_9_DE_OCTUBRE_ESQ_CALLE_PINTOR_STOLZ;217;T;T;25;Point;29/06/2016 10:43
